ds,yhat,yhat_lower,yhat_upper,location_id
2024-10-18,723.9214996692829,687.4461248664663,761.2593650949406,BER_001
2024-10-19,750.7185926259539,715.3878055823276,783.9112549886437,BER_001
2024-10-20,615.0047028393539,582.0283982629157,649.1181347154064,BER_001
2024-10-21,622.8011280888006,589.89331824741,657.7346066328133,BER_001
2024-10-22,630.0235652788436,593.4314521432271,664.5423965609829,BER_001
2024-10-23,645.9342716098199,610.1709905678803,683.5253938805297,BER_001
2024-10-24,657.3640370955959,623.8946621841274,694.4139284787739,BER_001
2024-10-25,822.5099344536857,787.7865572201288,856.6604966620636,BER_001
2024-10-26,859.0721515471866,823.349414753181,894.7379993279377,BER_001
2024-10-27,733.9555656520516,698.6904552234988,769.3785162786376,BER_001
2024-10-28,753.6521082902577,718.7300487766242,787.9607175351717,BER_001
2024-10-29,774.6265644931121,740.2526808631169,808.8522592725863,BER_001
2024-10-30,806.7510297488858,772.873182457919,843.7694808358502,BER_001
2024-10-31,837.5037433092145,800.8929310301373,873.8694336727445,BER_001
2024-10-18,753.584371366521,718.146281482772,789.2599026824194,HAM_001
2024-10-19,787.419779074373,753.6834871000134,820.9107676308877,HAM_001
2024-10-20,698.6330254093364,664.1879175904894,733.6952673660101,HAM_001
2024-10-21,759.8180976356639,725.9977194203029,795.0700854367194,HAM_001
2024-10-22,850.2769106256053,816.1470672469576,885.1304554011894,HAM_001
2024-10-23,960.9965670294932,927.2068354310302,997.6717208955814,HAM_001
2024-10-24,1099.8795667785425,1067.5559640069682,1133.9994390354632,HAM_001
2024-10-25,1416.2740342316154,1381.8597248958183,1448.994573096533,HAM_001
2024-10-26,1614.8906816854987,1580.682382133259,1648.0011295477204,HAM_001
2024-10-27,1713.3216768772295,1680.7411495191013,1749.9795694207783,HAM_001
2024-10-28,1984.039034926655,1947.4593361280815,2018.2722742083267,HAM_001
2024-10-29,2305.6223370410366,2272.2988915842316,2339.873829155781,HAM_001
2024-10-30,2667.6775605189064,2633.5372169102075,2704.872761104317,HAM_001
2024-10-31,3076.0215453354067,3044.926733885071,3107.0844526746287,HAM_001
2024-10-18,760.1431248146172,725.5760944995513,795.9620936616687,MUC_001
2024-10-19,774.7094921178499,738.8471225687628,812.7079210478894,MUC_001
2024-10-20,679.3628063664722,646.1153807805237,714.3613420178287,MUC_001
2024-10-21,747.7290360710354,711.0384048381356,783.0479638712891,MUC_001
2024-10-22,835.3288257608808,799.317370764562,873.3064741933911,MUC_001
2024-10-23,931.3082648819793,894.2149097134184,964.7281563930555,MUC_001
2024-10-24,1055.5070551477406,1019.0555423541532,1091.5707699855122,MUC_001
2024-10-25,1381.198580572915,1344.2091702552427,1417.4085252039586,MUC_001
2024-10-26,1550.0844238437503,1514.535198476208,1585.712158841567,MUC_001
2024-10-27,1630.4963833371721,1593.970194993179,1664.9437054315329,MUC_001
2024-10-28,1896.2371098815088,1859.9609779054197,1932.4954332720758,MUC_001
2024-10-29,2202.483638317163,2161.3429415380656,2237.6283223230816,MUC_001
2024-10-30,2537.4553495646414,2502.217815994592,2571.4899548014037,MUC_001
2024-10-31,2919.428738318479,2882.387643067293,2951.9392249213215,MUC_001
